Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,52,3,P:System.Windows.UIElement.Visibility,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,42,3,T:System.Windows.DependencyPropertyChangedEventHandler,,,,,IsVisibleChanged += SetVersionNumberControl_IsVisibleChanged;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,42,3,T:System.Windows.DependencyPropertyChangedEventHandler,,,,,IsVisibleChanged += SetVersionNumberControl_IsVisibleChanged;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,42,3,E:System.Windows.UIElement.IsVisibleChanged,,,,,IsVisibleChanged += SetVersionNumberControl_IsVisibleChanged;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,34,3,T:System.Windows.Style,,,,,projCol1.ElementStyle = DataGridTextColumnElementStyle;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,34,3,T:System.Windows.Controls.DataGridTextColumn,,,,,projCol1.ElementStyle = DataGridTextColumnElementStyle;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,34,3,T:System.Windows.Style,,,,,projCol1.ElementStyle = DataGridTextColumnElementStyle;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,34,3,P:System.Windows.Controls.DataGridBoundColumn.ElementStyle,,,,,projCol1.ElementStyle = DataGridTextColumnElementStyle;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,33,3,T:System.Windows.Controls.DataGridTextColumn,,,,,"projCol1.Header = ""File containing version"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,33,3,P:System.Windows.Controls.DataGridColumn.Header,,,,,"projCol1.Header = ""File containing version"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,32,3,T:System.Windows.Controls.DataGridTextColumn,,,,,"projCol0.Header = ""Project"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,32,3,P:System.Windows.Controls.DataGridColumn.Header,,,,,"projCol0.Header = ""Project"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,31,3,T:System.Windows.Data.Binding,,,,,"projCol1.Binding = new Binding(""ThisSolutionProjectPath"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,31,3,M:System.Windows.Data.Binding.#ctor(System.String),,,,,"projCol1.Binding = new Binding(""ThisSolutionProjectPath"");"
